country,adm1_pcode,adm1_name,adm1_overview,overview_source_url
Kenya,KE042,Kisumu,"It's capital is Kisumu, the third-largest city in Kenya; major commercial and transport hub on Lake Victoria. Economy driven by sugarcane, fishing, rice irrigation, and trade. Kisumu County is relatively densely populated compared with the rest of Kenya. In 2023, it was an epicenter of political violence: security forces used teargas and live ammunition against opposition-led demonstrations, with ACLED recording it as a primary hotspot alongside Nairobi. ",https://acleddata.com/2023/08/04/kenya-situation-update-august-2023-government-operation-brings-calm-to-north-rift-region https://en.wikipedia.org/wiki/Kisumu_County
Kenya,KE019,Nyeri,"Central highland county in the Mt. Kenya region; economy anchored in coffee, tea, horticulture, and dairy. Historically the heartland of the Mau Mau independence movement against British colonial rule (1950s). The Kieni sub-counties face periodic food insecurity (IPC Phase 2), driven by frost, failed rains, and livestock pests. Generally stable and low-conflict rate.",https://reliefweb.int/report/kenya/nyeri-kieni-county-2019-long-rains-food-and-nutrition-security-assessment-report-july  https://www.britannica.com/place/Nyeri https://reliefweb.int/report/kenya/nyeri-county-kieni-2019-long-rains-food-and-nutrition-security-assessment-report-july
Kenya,KE038,Vihiga,"One of Kenya's smallest and most densely populated counties in the western region; agriculture (tea, maize, bananas) dominates. The county is part of the Lake Region Economic Bloc (LREB) established in 2018 to foster regional economic, industrial, social, and technological collaboration. High out-migration due to land pressure and limited economic opportunity. Low direct conflict footprint, though affected by election-related tensions.",https://vihiga.go.ke/countys-profile/  https://en.wikipedia.org/wiki/Vihiga_County
Kenya,KE045,Kisii,"Densely populated highland county; tea, banana, and soapstone carving are economic mainstays. ACLED identifies the Nyanza region (including Kisii) as accounting for over 40% of police intervention in Azimio-led demonstrations in 2023. Inter-county border dispute with Nyamira has turned violent in 2023. Experienced significant post-election violence during the 2007-2008 crisis.",https://acleddata.com/update/kenya-situation-update-september-2023-police-use-excessive-force-response-anti-government    https://www.ohchr.org/en/press-releases/2009/10/un-human-rights-team-issues-report-post-election-violence-kenya https://ir.jooust.ac.ke/items/87923948-4ad3-4883-a8f3-e4096e599fe9
Kenya,KE013,Tharaka-Nithi,"Rural county on the eastern Mt. Kenya slopes; miraa (khat), mango, and subsistence farming are economic pillars. Relatively low conflict intensity. The Maarifa Centre (Council of Governors) documents ongoing development challenges around water access and agricultural productivity in its County Integrated Development Plans.",https://maarifa.cog.go.ke/node/814 
Kenya,KE041,Siaya,Lakeside county on Lake Victoria's shores; fishing and subsistence agriculture are primary livelihoods. The county is part of the Lake Region Economic Bloc (LREB). ACLED records Siaya as one of six Nyanza counties where Azimio-led demonstrations faced heavy police intervention in 2023. Affected by 2007-2008 post-election violence.,https://acleddata.com/update/kenya-situation-update-september-2023-police-use-excessive-force-response-anti-government  http://en.wikipedia.org/wiki/Siaya_County
Kenya,KE047,Nairobi,"National capital and Kenya's largest city; political and economic center of the country. ACLED identifies Nairobi as the county with the most political violence events nationwide, recording the highest number of mob violence incidents and demonstration events in 2022 and 2023. Significant informal settlement population (e.g., Kibera). High inequality and recurring unrest tied to election cycles and anti-government protests.",https://acleddata.com/2023/03/02/kenya-context-assessment-increasing-security-challenges-in-kenya/ 
Kenya,KE046,Nyamira,Small highland county in Nyanza; tea and banana farming are the dominant economic activities. The county is part of the Lake Region Economic Bloc (LREB). ACLED groups Nyamira within the Nyanza bloc that accounted for over 40% of police intervention in 2023 Azimio demonstrations. Inter-county border dispute with Kisii has produced violent incidents in 2023.,https://acleddata.com/update/kenya-situation-update-september-2023-police-use-excessive-force-response-anti-government    https://en.wikipedia.org/wiki/Nyamira_County
Kenya,KE001,Mombasa,"Kenya's second city; economy driven by trade, tourism, and logistics. In addition to the coffee trade, the food and chemical industries, Mombasa has a steel mill, an aluminum rolling mill, an oil refinery and a cement plant. The city is home to the most important seaport in East Africa, Kilindini Harbour. At 44%, the rate of youth unemployment in Mombasa is more than double the national average of 21% (2016). ACLED ranks Mombasa among Kenya's key urban protest centers, with demonstrations in 2023-2024 linked to anti-government movements. Al-Shabaab-linked radicalization and recruitment have been documented since 2011 in coastal areas. Security assessment notes elevated insecurity in informal areas.",https://acleddata.com/2023/03/02/kenya-context-assessment-increasing-security-challenges-in-kenya/    https://en.wikipedia.org/wiki/Mombasa
Kenya,KE037,Kakamega,"Kenya's most populous western county; sugarcane, maize, and Kakamega Forest (Kenya's only tropical rainforest). ACLED records Kakamega as one of the top five counties by political violence events in 2022, with mob violence events peaking during the election campaign period. Experienced 2007-2008 post-election violence and ongoing election-cycle tensions.",https://acleddata.com/2023/03/02/kenya-context-assessment-increasing-security-challenges-in-kenya/
Kenya,KE014,Embu,"Eastern Mt. Kenya slopes county; coffee, tea, and macadamia are key cash crops. Embu County is one of the most economically stable counties in Kenya (fourth largest GCP per capita in Kenya). Relatively peaceful county with low direct conflict footprint. Government food security assessments identify the area as generally food secure with occasional stress during drought years.",https://en.wikipedia.org/wiki/Embu_County   https://www.knbs.or.ke/wp-content/uploads/2024/05/Gross-County-Product-2023-min.pdf
Kenya,KE006,Taita Taveta,"Southeastern county bordering Tanzania; home to Tsavo East and West National Parks, driving tourism alongside sisal and horticulture. UNICEF Kenya 2022 Humanitarian Situation Report identifies Taita Taveta among counties where agricultural land was destroyed by floods. ",https://reliefweb.int/report/kenya/unicef-kenya-humanitarian-situation-report-no-7-january-december-2022 
Kenya,KE043,Homa Bay,Lakeshore county with economic activity in fishing and subsistence agriculture. It has one of Kenya's highest HIV/AIDS prevalence rates. ACLED records Homa Bay as one of the Nyanza counties where Azimio Coalition demonstrations were concentrated in May 2023. Experienced post-election violence in 2007-2008 crisis.,https://acleddata.com/2023/06/09/kenya-situation-update-june-2023/ 
Kenya,KE044,Migori,"Border county with Tanzania and Lake Victoria; gold mining (Macalder), fishing, and sugarcane economy. Migori town serves as in important link between Kenya and Tanzania and the second most viable commercial center in Luo-Nyanza after Kisumu. ACLED records Migori as one of the six Nyanza counties with high Azimio demonstration activity in 2023. Periodic election-related violence and gold trade-linked insecurity.",https://acleddata.com/2023/06/09/kenya-situation-update-june-2023/   https://en.wikipedia.org/wiki/Migori_County
Kenya,KE020,Kirinyaga,Fertile central county on the southern Mt. Kenya slopes; Kenya's top rice producer alongside tea cultivation. Generally peaceful with low conflict history.,https://acleddata.com/2024/04/19/kenya-situation-update-april-2024-kenyan-security-forces-combating-al-shabaab-pastoralist-militias-and-mob-violence/ 
